S. No.,problem,category,type,data,code,clause
30,Missing,Road Marking,Objects within Carriageway,"Obstructions within the carriageway (e.g., underpass piers, abutments) must have at least six alternate black and yellow stripes sloping 45 degrees towards traffic, each not less than 300 mm wide. The diagonal stripes shall be uniform with black and yellow stripes at an angle of 45 degrees towards traffic. If marking directly on the object is not feasible, an independent surface may be used in front of it. The total marking width must match the obstruction’s width, including the paved shoulder, and be at least 450 mm. Warning lines on the pavement should be placed before the obstruction, followed by diagonal markings. Kerbs of raised channelizing islands, central islands and medians must have 500 mm wide black and white vertical stripes for visibility.",IRC:35-2015,14.2
31,Non-Standard,Road Marking,Straight Arrow Marking,"Straight arrow marking on carriageway are meant to give straight direction for driver to take mandatorily. These markings include 3.5 m length (AM01) for speeds below 50 km/h, 5 m length (AM08) for speeds between 51-100 km/h and 9 m length (AM08) for speeds above 100 km/h. The markings are 500 mm in width and are white in colour.",IRC:35-2015,3.5 and 8.1.2
32,Missing,Road Marking,Broken Line Marking,"The transverse marking establishes the traffic control, lest it would lead to crashes, and therefore, its compliance is vital. The road authority shall always ensure the installation of transverse marking and continued maintenance. The transverse marking shall always be accompanied with corresponding sign. Broken line marking is of 600 mm length and 300 mm spacing, with 100 mm width (TM04), 150 mm width (TM05) or 200 mm width (TM06) with white in colour. Give way line shall be TM04 (as per Table A.2).",IRC:35-2015,3.2
33,Spacing Issue,Road Marking,Bi-Directional,"Bi-directional road studs shall be used for two directional roads to delineate the centre line and edge line. Bi-directional carriageways shall have two coloured faces which can be a combination of two colours such as Red-White bi-directional road studs or same colour on two faces like white-white bi-directional road studs or Yellow-Yellow bi-directional road studs. Road studs for four lane divided road, with carriageway width greater than 7.3 m carriageway width is as follows (as per Table 5.2): 
For normal section: yellow-yellow bidirectional at 18 m interval for centre line (desriable one), red-white bidirectional at 18 m interval for edge line (optional one) and for traffic lane line is not required.
For warning section: yellow-yellow bidirectional at 9 m interval for centre line (desriable one), red-white bidirectional at 9 m interval for edge line (desirable one) and for traffic lane line is not required.
For no overtaking section: yellow-yellow bidirectional at 6 m interval for centre line (desriable one), red-white bidirectional at 6 m interval for edge line (desirable one) and white-white bidirectional at 6 m interval for traffic lane line (optional one).
Road studs must be placed at the center of the gap, never on or beside the line segment at broken longitudinal Markings. Road studs should be 50 mm outside the shoulder edge line, on carriageway with Paved Shoulder. With No Paved Shoulder, roadstuds can be placed directly on the edge line due to space constraints. Road studs should be in the hard strip or kerb shyness width, with 50 mm setback from the median side edge line and 100 mm clearance from the raised kerb on Median Side Edge. Only 50 mm setback is required for Flushed or Depressed Medians; 100 mm clearance is not applicable. If space is insufficient, studs can be placed adjacent to or directly on the edge line. Road Studs with Anchorages is preferable for edge lines but not recommended for concrete roads. Proper installation is required to avoid pavement damage.",IRC:35-2015,5.5
34,Non-Standard,Road Marking,Word Message DISABLED Marking,Word message DISABLED marking (FM18) for disabled ones shall be given with 700 mm width and white in colour (as per Table A.7).,IRC:35-2015,3.7
35,Missing,Road Marking,Giveway Marking,"Consists of two broken lines (600 mm segments, 300 mm gaps), each 200 mm wide, spaced 300 mm apart. Used at intersections without stop signs, signals, or police control.
Give Way Lines must be supplemented by a hollow triangular approach marking and a roadside sign, placed 2.5–12 m from the transverse marking.
On two-way minor roads, the marking extends to the centerline, with a broken line for the remaining width. If needed, a continuous line can emphasize the major road’s kerb line.
On major roads with paved shoulders, markings align with the shoulder edge for continuity.
Roundabouts require Give Way markings and signs at entry points.
Use Stop Marking and Stop Sign on minor roads at its intersecting point with a major road with restricted visibility, poor alignment, or high crash rates. If visibility is obstructed due to geometry, climate, or traffic, install a Stop Marking and Stop Sign. If visibility is clear in both directions, use a Give Way Marking and Give Way Sign on the minor road. On inter-urban and rural roads, Stop Markings and Stop Signs are preferred as they are more familiar to road users than Give Way Signs and Markings (as per clause 6.3).",IRC:35-2015,6.2
36,Placement Issue,Road Marking,Chevron Diverging Marking,"Channelizing markings like chevron diverging marking are utilized to demarcate the neutral area at the nose of a channelizing island which can help in reducing the incidence of collision with kerb nose. They direct the exiting traffic into the proper angle for smooth movements of divergence. These markings provide for proper and safe use of deceleration lanes. The basic function is to inform the driver about the area/lane(s) which is set aside for the exclusive use of traffic on the main highway and thus enable the driver to adequately distinguish between through traffic lanes and the deceleration lanes. The spacing of chevron markings shall be 2 m for markings for less than 10 m (HM01), 4 m for markings 10 to 22 m marking (HM02) and 6 m for markings greater than 22 m (HM03). Wdith of chevron measures at right angles to the diagonals or chevrons is 600 mm. The total length of chevron markings depends on the lateral shift undertaken by a vehicle in motion and varies with site conditions and the length should be such that to accommodate at least two or three chevrons or diagonals. The diverging chevrons must always point towards approaching traffic. The gap between chevron and boundary line shall be 100 mm to facilitate drain of surface run off. The chevron diverging marking shall be white in colour (as per Table A.3).",IRC:35-2015,7.2
37,Wrong Colour Selection,Road Marking,Ladder Hatching Marking,"Ladder Hatching Marking shall be white (HM10/ HM11) provided in normal section/ warning section and yellow (HM12/ HM13) in colour, provided in no overtaking zone (as per Table A.3).",IRC:35-2015,7.6.3
38,Wrong Colour Selection,Road Marking,Objects adjacent / near to carriageway,"Subway piers, abutments, and culvert head walls outside the roadway must have at least six black and white stripes sloping 45 degrees towards traffic. Electrical poles near the carriageway should have horizontal black and white stripes up to 1.25 m high, with each stripe at least 100 mm wide. guard rails, guard stones or drums and trees that are not likely to be hit unless a vehicle runs off the carriageway shall be painted solid white. Trees must be marked up to 1.25 m height, with a 300 mm black band in the middle for visibility. All objects within 2.4 m of the shoulder or kerb must be painted. Object markers, at least 1.2 m high, should be placed in front of such objects to improve visibility. Kerbs of all islands in traffic flow must have 500 mm wide vertical black and white stripes.",IRC:35-2015,14.3
39,Damaged,Road Marking,Bi-Directional,"Bi-directional road studs shall be used for two directional roads to delineate the centre line and edge line. Bi-directional carriageways shall have two coloured faces which can be a combination of two colours such as Red-White bi-directional road studs or same colour on two faces like white-white bi-directional road studs or Yellow-Yellow bi-directional road studs. Road studs for four lane divided road, with carriageway width greater than 7.3 m carriageway width is as follows (as per Table 5.2): 
For normal section: yellow-yellow bidirectional at 18 m interval for centre line (desriable one), red-white bidirectional at 18 m interval for edge line (optional one) and for traffic lane line is not required.
For warning section: yellow-yellow bidirectional at 9 m interval for centre line (desriable one), red-white bidirectional at 9 m interval for edge line (desirable one) and for traffic lane line is not required.
For no overtaking section: yellow-yellow bidirectional at 6 m interval for centre line (desriable one), red-white bidirectional at 6 m interval for edge line (desirable one) and white-white bidirectional at 6 m interval for traffic lane line (optional one).
For divided road, in warning section: white-white bidirectional at 9 m interval (optional one) for traffic lane line shall be given.
Road studs must be placed at the center of the gap, never on or beside the line segment at broken longitudinal Markings. Road studs should be 50 mm outside the shoulder edge line, on carriageway with Paved Shoulder. With No Paved Shoulder, roadstuds can be placed directly on the edge line due to space constraints. Road studs should be in the hard strip or kerb shyness width, with 50 mm setback from the median side edge line and 100 mm clearance from the raised kerb on Median Side Edge. Only 50 mm setback is required for Flushed or Depressed Medians; 100 mm clearance is not applicable. If space is insufficient, studs can be placed adjacent to or directly on the edge line. Road Studs with Anchorages is preferable for edge lines but not recommended for concrete roads. Proper installation is required to avoid pavement damage.",IRC:35-2015,5.3
40,Placement Issue,Road Marking,Broken Traffic Lane Line Marking,"The carriageway having two or more in one direction are divided into separate lanes by traffic lane line marking for vehicles to move in proper lanes and to discourage the meandering tendency of the drivers, thereby promoting safety and ensuring maximum capacity. Traffic lane markings should be applied near pedestrian crossings, hazardous locations, congested areas, and important one-way streets, ensuring proper implementation for safety. They must only be used where adequate lane width, as per IRC standards, is available between lane lines or the edge/center line. If sufficient width is not maintained, markings should be avoided to prevent side-swipe accidents. Broken traffic lanes can be crossed whereas continuous traffic lanes shall not be crossed and shall be white in colour. LM31 is of 15000 mm length with 3000 mm gap length and 200 mm width and shall be white in colour (as per Table A.1).",IRC:35-2015,4.2
41,Damaged,Traffic Calming Measures,Rumble Strip,"Rumble strips are provided at places where speed control is unavoidable in highways and arterial roads. The rumble strip can be cast in situ with cement concrete or premix bituminous materials. Rumble strip may be provided across the entire width of carriageway and paved shoulders (if any). Raised section should be 20 to 30 mm high, 200-300 mm wide and spaced about one meter centre to centre of roughly 6 numbers at one location. In accident prone locations, where accidents have occurred due to departure of vehicles from shoulder on to side slope of embankment, rumble strip can be used on such a shoulder side also.
Rumble strips shall be provided 10-20 m before zebra crossing on Arterial Roads, Collector Roads and High Pedestrian Activity Zones (as per clause 3.9).",IRC:99-2018,2.3.3.3
42,Non-Standard,Traffic Calming Measures,Speed Bump,"Speed bumps are precast which is fixed on the road as a traffic calming measure. But in high speed environment, these bumps prove to be traffic hazard. Once the bumps get damaged by repeated striking of traffic movement, the nail remains on the pavement and prove to be damaging the tyres of vehicle. Therefore, its usage is recommended for local and collector streets.",IRC:99-2018,3.1.2
43,Missing,Traffic Calming Measures,Transverse Bar Marking,"Transverse bar marking made of thermoplastic markings is another treatment to alert and to reduce the speed. Each set comprises of 6 bars, 200 to 300 mm wide 600 mm apart of 5 mm high and of 300 mm wide 1000 mm apart of 15 mm high. Number of sets of transverse bar markings on approach to hazardous location depending upon the speed.
For an approach speed of up to 50 km/h, 1 set of bar markings (TM08) is required, with a distance of d1 = 50 meters from the hazard. For speeds between 51 and 65 km/h, 2 sets are needed, with distances d1 = 50 meters and d2 = 80 meters. For speeds between 66 and 80 km/h, 3 sets are required, with distances d1 = 50 meters, d2 = 80 meters, and d3 = 120 meters. For speeds between 81 and 100 km/h, 4 sets are needed, with distances d1 = 50 meters, d2 = 80 meters, d3 = 120 meters, and d4 = 180 meters (as per clause 3.7).",IRC:99-2018,2.3.3.4
44,Placement Issue,Traffic Calming Measures,Transverse Bar Marking,"Transverse bar marking made of thermoplastic markings is another treatment to alert and to reduce the speed. Each set comprises of 6 bars, 200 to 300 mm wide 600 mm apart of 5 mm high and of 300 mm wide 1000 mm apart of 15 mm high. Number of sets of transverse bar markings on approach to hazardous location depending upon the speed (as per clause 2.3.3.4).
For an approach speed of up to 50 km/h, 1 set of bar markings (TM08) is required, with a distance of d1 = 50 meters from the hazard. For speeds between 51 and 65 km/h, 2 sets are needed, with distances d1 = 50 meters and d2 = 80 meters. For speeds between 66 and 80 km/h, 3 sets are required, with distances d1 = 50 meters, d2 = 80 meters, and d3 = 120 meters. For speeds between 81 and 100 km/h, 4 sets are needed, with distances d1 = 50 meters, d2 = 80 meters, d3 = 120 meters, and d4 = 180 meters.",IRC:99-2018,3.7
45,Non-Standard,Traffic Calming Measures,Speed Hump,"The profile of circular shaped hump is based on the shape of a circular arc with a radius varying from 11 m to 113 m and a chord length varying from 3.0 m to 9.5 m to achieve desired speed of 20 km/h to 50 km/h. Circular shaped humps with rises less than assumed 10 cm will result in higher speeds than those mentioned. Rises that are higher than 10 cm may cause damage to vehicles.
At 20 km/h, the radius is 11 m, the chord length is 3.0 m, and the bus speed during passage is 5 km/h;at 25 km/h, the radius is 15 m, the chord length is 3.5 m, and the bus speed during passage is 10 km/h;at 30 km/h, the radius is 20 m, the chord length is 4.0 m, and the bus speed during passage is 15 km/h;at 35 km/h, the radius is 31 m, the chord length is 5.0 m, and the bus speed during passage is 20 km/h;at 40 km/h, the radius is 53 m, the chord length is 6.5 m, and the bus speed during passage is 25 km/h;at 45 km/h, the radius is 80 m, the chord length is 8.0 m, and the bus speed during passage is 30 km/h;at 50 km/h, the radius is 113 m, the chord length is 9.5 m, and the bus speed during passage is 35 km/h.
Speed breaker is provided on through road where alignment is straight like service road and other roads below grade separated structures and at side road where traffic has to stop and then proceed (as per clause 9.3.11 of IRC:SP:84-2019).
Relatively insignificant minor road approaches shall be provided with a speed breaker at 5 m to 6 m away from STOP line (as per clause 9.2.11 of IRC:SP:84-2019).",IRC:99-2018,3.1.1.1
46,Placement Issue,Traffic Calming Measures,Speed Hump,"The profile of circular shaped hump is based on the shape of a circular arc with a radius varying from 11 m to 113 m and a chord length varying from 3.0 m to 9.5 m to achieve desired speed of 20 km/h to 50 km/h. Circular shaped humps with rises less than assumed 10 cm will result in higher speeds than those mentioned. Rises that are higher than 10 cm may cause damage to vehicles.At 20 km/h, the radius is 11 m, the chord length is 3.0 m, and the bus speed during passage is 5 km/h;at 25 km/h, the radius is 15 m, the chord length is 3.5 m, and the bus speed during passage is 10 km/h;at 30 km/h, the radius is 20 m, the chord length is 4.0 m, and the bus speed during passage is 15 km/h;at 35 km/h, the radius is 31 m, the chord length is 5.0 m, and the bus speed during passage is 20 km/h;at 40 km/h, the radius is 53 m, the chord length is 6.5 m, and the bus speed during passage is 25 km/h;at 45 km/h, the radius is 80 m, the chord length is 8.0 m, and the bus speed during passage is 30 km/h;at 50 km/h, the radius is 113 m, the chord length is 9.5 m, and the bus speed during passage is 35 km/h (as per clause 3.1.1.1 of IRC:99-2018).
Speed breaker on through road where alignment is straight like service road and other roads below grade separated structures shall be 5.5 m away from the junction point.
Relatively insignificant minor road approaches shall be provided with a speed breaker at 5 m to 6 m away from STOP line.",IRC:SP:84-2019,9.3.11 and 9.2.11
47,Damaged,Traffic Calming Measures,Trapezoidal Hump,"A hump, which constitutes a 50 to 100 mm raised, flat section of a carriageway with ramps on both sides is called a trapezoidal hump. At a speed of 20 km/h, the distance is 0.7 meters with a 14.0% decrease. At 25 km/h, it increases to 0.8 meters, with a 12.5% reduction, and at 30 km/h, the distance is 1.0 meter, reflecting a 10.0% decrease. At 35 km/h, the distance reaches 1.3 meters with a 7.5% decrease, while at 40 km/h, it grows to 1.7 meters with a 6.0% reduction. At 45 km/h, the distance is 2.0 meters with a 5.0% decrease, and at 50 km/h, it reaches 2.5 meters, with a 4.0% reduction.
Speed breaker on through road where alignment is straight like service road and other roads below grade separated structures shall be 5.5 m away from the junction point (as per clause 9.3.11 of IRC:SP:87-2019).
Relatively insignificant minor road approaches shall be provided with a speed breaker at 5 m to 6 m away from STOP line (as per clause 9.2.11 of IRC:SP:87-2019).",IRC:99-2018,3.1.1.2
48,Missing,Traffic Calming Measures,Rumble Strip,"Rumble strips are provided at places where speed control is unavoidable in highways and arterial roads. The rumble strip can be cast in situ with cement concrete or premix bituminous materials. Rumble strip may be provided across the entire width of carriageway and paved shoulders (if any). Raised section should be 20 to 30 mm high, 200-300 mm wide and spaced about one meter centre to centre of roughly 6 numbers at one location. In accident prone locations, where accidents have occurred due to departure of vehicles from shoulder on to side slope of embankment, rumble strip can be used on such a shoulder side also.
Rumble strips shall be provided 10-20 m before zebra crossing on Arterial Roads, Collector Roads and High Pedestrian Activity Zones (as per clause 3.9).",IRC:99-2018,2.3.3.3
49,Faded,Traffic Calming Measures,Transverse Bar Marking,"Transverse bar marking made of thermoplastic markings is another treatment to alert and to reduce the speed. Each set comprises of 6 bars, 200 to 300 mm wide 600 mm apart of 5 mm high and of 300 mm wide 1000 mm apart of 15 mm high. Number of sets of transverse bar markings on approach to hazardous location depending upon the speed.
For an approach speed of up to 50 km/h, 1 set of bar markings (TM08) is required, with a distance of d1 = 50 meters from the hazard. For speeds between 51 and 65 km/h, 2 sets are needed, with distances d1 = 50 meters and d2 = 80 meters. For speeds between 66 and 80 km/h, 3 sets are required, with distances d1 = 50 meters, d2 = 80 meters, and d3 = 120 meters. For speeds between 81 and 100 km/h, 4 sets are needed, with distances d1 = 50 meters, d2 = 80 meters, d3 = 120 meters, and d4 = 180 meters (as per clause 3.7).",IRC:99-2018,2.3.3.4
50,Missing,Traffic Calming Measures,Speed Hump,"The profile of circular shaped hump is based on the shape of a circular arc with a radius varying from 11 m to 113 m and a chord length varying from 3.0 m to 9.5 m to achieve desired speed of 20 km/h to 50 km/h. Circular shaped humps with rises less than assumed 10 cm will result in higher speeds than those mentioned. Rises that are higher than 10 cm may cause damage to vehicles.
At 20 km/h, the radius is 11 m, the chord length is 3.0 m, and the bus speed during passage is 5 km/h;at 25 km/h, the radius is 15 m, the chord length is 3.5 m, and the bus speed during passage is 10 km/h;at 30 km/h, the radius is 20 m, the chord length is 4.0 m, and the bus speed during passage is 15 km/h;at 35 km/h, the radius is 31 m, the chord length is 5.0 m, and the bus speed during passage is 20 km/h;at 40 km/h, the radius is 53 m, the chord length is 6.5 m, and the bus speed during passage is 25 km/h;at 45 km/h, the radius is 80 m, the chord length is 8.0 m, and the bus speed during passage is 30 km/h;at 50 km/h, the radius is 113 m, the chord length is 9.5 m, and the bus speed during passage is 35 km/h.
Relatively insignificant minor road approaches shall be provided with a speed breaker at 8 m to 12 m away from edge line (as per clause 9.2.11 of IRC:SP:73-2018).",IRC:99-2018,3.1.1.1